image_name,latitude,longitude,yaw,pitch,roll,flying_height
DJI_0020.JPG,3822523.85316,640331.787565,-41.9,-35.6,0.0,60.59211428
DJI_0021.JPG,3822528.10694,640336.239639,-49.4,-35.6,0.0,61.77148475
DJI_0022.JPG,3822533.32054,640340.198916,-62.1,-35.6,0.0,61.51754462
DJI_0023.JPG,3822540.08939,640343.28093,-74.5,-35.6,0.0,62.89038264
DJI_0024.JPG,3822547.54772,640344.865383,-84.4,-35.6,0.0,63.59747902
DJI_0025.JPG,3822555.95142,640345.36792,-88.2,-35.6,0.0,62.76620497
DJI_0026.JPG,3822564.12377,640345.463621,-89.0,-35.6,0.0,62.28185175
DJI_0027.JPG,3822572.06324,640345.270014,-93.1,-35.6,0.0,61.68401872
DJI_0028.JPG,3822579.17042,640344.540974,-96.3,-35.6,0.0,61.51010511
DJI_0042.JPG,3822584.60942,640342.943997,-132.6,-35.6,0.0,62.11328128
DJI_0043.JPG,3822586.92234,640340.897713,-143.2,-35.6,0.0,61.92694766
DJI_0286.JPG,3822549.34551,640315.304143,-179.8,-89.9,0.0,103.53582991
DJI_0287.JPG,3822538.31668,640315.275506,-179.9,-90.0,0.0,102.75284815
DJI_0288.JPG,3822527.24368,640315.479785,-179.9,-90.0,0.0,100.98548383
DJI_0289.JPG,3822516.15867,640315.55022,-179.6,-89.9,0.0,105.62911271
DJI_0290.JPG,3822506.40683,640315.389345,-163.4,-90.0,0.0,106.71277255
DJI_0291.JPG,3822509.36774,640296.565435,-27.2,-90.0,0.0,102.42493613
DJI_0292.JPG,3822519.90884,640298.010573,-1.3,-90.0,0.0,102.37878829
DJI_0293.JPG,3822531.55244,640297.468128,0.4,-90.0,0.0,98.60265216
DJI_0294.JPG,3822542.3088,640297.231024,0.5,-90.0,0.0,95.38161562
DJI_0295.JPG,3822553.18048,640297.210654,0.8,-90.0,0.0,95.73203756
DJI_0328.JPG,3822570.1382,640279.191292,-179.7,-90.0,0.0,87.58105382
DJI_0329.JPG,3822559.12574,640279.2918,179.9,-89.9,0.0,89.67333904
DJI_0330.JPG,3822548.10994,640279.390523,179.8,-89.9,0.0,93.03033759
DJI_0331.JPG,3822537.19574,640279.533606,179.9,-90.0,0.0,94.02975809
DJI_0332.JPG,3822526.16341,640279.71336,-179.6,-89.9,0.0,95.10498892
DJI_0333.JPG,3822515.24505,640279.800509,-179.5,-89.9,0.0,94.06308438
DJI_0334.JPG,3822508.14318,640260.861713,-27.4,-90.0,0.0,87.60374614
DJI_0335.JPG,3822518.56981,640262.219579,-1.0,-90.0,0.0,82.77065283
DJI_0336.JPG,3822538.22272,640261.701066,0.7,-90.0,0.0,82.12403566
DJI_0337.JPG,3822541.64646,640261.662129,0.4,-90.0,0.0,82.90544743
DJI_0338.JPG,3822560.23766,640261.427724,0.5,-90.0,0.0,83.78077348
DJI_0339.JPG,3822563.69376,640261.402066,0.5,-89.9,0.0,81.99895981
DJI_0340.JPG,3822582.26997,640261.276208,0.4,-90.0,0.0,76.18560122
DJI_0369.JPG,3822569.31795,640243.299014,-179.6,-89.9,0.0,76.01483577
DJI_0370.JPG,3822558.37988,640243.403862,179.9,-90.0,0.0,78.26580427
DJI_0371.JPG,3822547.2214,640243.456965,179.8,-89.9,0.0,76.06184571
DJI_0372.JPG,3822536.24695,640243.576133,-179.9,-89.9,0.0,77.44032321
DJI_0373.JPG,3822525.39629,640243.739326,-179.8,-90.0,0.0,80.95052299
DJI_0374.JPG,3822514.54268,640243.927349,-179.3,-89.9,0.0,84.16434846
DJI_0375.JPG,3822504.36125,640243.599398,-164.2,-90.0,0.0,88.81063188
DJI_0376.JPG,3822507.3698,640224.90882,-27.3,-90.0,0.0,82.59710269
DJI_0377.JPG,3822517.62828,640226.224288,-1.0,-90.0,0.0,80.99086639
DJI_0378.JPG,3822529.36563,640225.719989,0.5,-89.9,0.0,78.7886343
DJI_0379.JPG,3822540.07446,640225.567223,0.7,-90.0,0.0,74.86233147
DJI_0380.JPG,3822550.93984,640225.497461,0.7,-90.0,0.0,71.69439843
DJI_0381.JPG,3822561.85091,640225.294819,0.5,-90.0,0.0,70.1931004
DJI_0382.JPG,3822572.86396,640225.233839,0.6,-89.9,0.0,68.25532617
