flying_height,image_name,latitude,longitude
60.59211428,DJI_0020.JPG,3822523.85316,640331.787565
61.77148475,DJI_0021.JPG,3822528.10694,640336.239639
61.51754462,DJI_0022.JPG,3822533.32054,640340.198916
62.89038264,DJI_0023.JPG,3822540.08939,640343.28093
63.59747902,DJI_0024.JPG,3822547.54772,640344.865383
62.76620497,DJI_0025.JPG,3822555.95142,640345.36792
62.28185175,DJI_0026.JPG,3822564.12377,640345.463621
61.68401872,DJI_0027.JPG,3822572.06324,640345.270014
61.51010511,DJI_0028.JPG,3822579.17042,640344.540974
62.11328128,DJI_0042.JPG,3822584.60942,640342.943997
61.92694766,DJI_0043.JPG,3822586.92234,640340.897713
103.53582991,DJI_0286.JPG,3822549.34551,640315.304143
102.75284815,DJI_0287.JPG,3822538.31668,640315.275506
100.98548383,DJI_0288.JPG,3822527.24368,640315.479785
105.62911271,DJI_0289.JPG,3822516.15867,640315.55022
106.71277255,DJI_0290.JPG,3822506.40683,640315.389345
102.42493613,DJI_0291.JPG,3822509.36774,640296.565435
102.37878829,DJI_0292.JPG,3822519.90884,640298.010573
98.60265216,DJI_0293.JPG,3822531.55244,640297.468128
95.38161562,DJI_0294.JPG,3822542.3088,640297.231024
95.73203756,DJI_0295.JPG,3822553.18048,640297.210654
87.58105382,DJI_0328.JPG,3822570.1382,640279.191292
89.67333904,DJI_0329.JPG,3822559.12574,640279.2918
93.03033759,DJI_0330.JPG,3822548.10994,640279.390523
94.02975809,DJI_0331.JPG,3822537.19574,640279.533606
95.10498892,DJI_0332.JPG,3822526.16341,640279.71336
94.06308438,DJI_0333.JPG,3822515.24505,640279.800509
87.60374614,DJI_0334.JPG,3822508.14318,640260.861713
82.77065283,DJI_0335.JPG,3822518.56981,640262.219579
82.12403566,DJI_0336.JPG,3822538.22272,640261.701066
82.90544743,DJI_0337.JPG,3822541.64646,640261.662129
83.78077348,DJI_0338.JPG,3822560.23766,640261.427724
81.99895981,DJI_0339.JPG,3822563.69376,640261.402066
76.18560122,DJI_0340.JPG,3822582.26997,640261.276208
76.01483577,DJI_0369.JPG,3822569.31795,640243.299014
78.26580427,DJI_0370.JPG,3822558.37988,640243.403862
76.06184571,DJI_0371.JPG,3822547.2214,640243.456965
77.44032321,DJI_0372.JPG,3822536.24695,640243.576133
80.95052299,DJI_0373.JPG,3822525.39629,640243.739326
84.16434846,DJI_0374.JPG,3822514.54268,640243.927349
88.81063188,DJI_0375.JPG,3822504.36125,640243.599398
82.59710269,DJI_0376.JPG,3822507.3698,640224.90882
80.99086639,DJI_0377.JPG,3822517.62828,640226.224288
78.7886343,DJI_0378.JPG,3822529.36563,640225.719989
74.86233147,DJI_0379.JPG,3822540.07446,640225.567223
71.69439843,DJI_0380.JPG,3822550.93984,640225.497461
70.1931004,DJI_0381.JPG,3822561.85091,640225.294819
68.25532617,DJI_0382.JPG,3822572.86396,640225.233839
