image_name,pitch,roll,yaw
DJI_0020.JPG,-35.6,0.0,-41.9
DJI_0021.JPG,-35.6,0.0,-49.4
DJI_0022.JPG,-35.6,0.0,-62.1
DJI_0023.JPG,-35.6,0.0,-74.5
DJI_0024.JPG,-35.6,0.0,-84.4
DJI_0025.JPG,-35.6,0.0,-88.2
DJI_0026.JPG,-35.6,0.0,-89.0
DJI_0027.JPG,-35.6,0.0,-93.1
DJI_0028.JPG,-35.6,0.0,-96.3
DJI_0042.JPG,-35.6,0.0,-132.6
DJI_0043.JPG,-35.6,0.0,-143.2
DJI_0286.JPG,-89.9,0.0,-179.8
DJI_0287.JPG,-90.0,0.0,-179.9
DJI_0288.JPG,-90.0,0.0,-179.9
DJI_0289.JPG,-89.9,0.0,-179.6
DJI_0290.JPG,-90.0,0.0,-163.4
DJI_0291.JPG,-90.0,0.0,-27.2
DJI_0292.JPG,-90.0,0.0,-1.3
DJI_0293.JPG,-90.0,0.0,0.4
DJI_0294.JPG,-90.0,0.0,0.5
DJI_0295.JPG,-90.0,0.0,0.8
DJI_0328.JPG,-90.0,0.0,-179.7
DJI_0329.JPG,-89.9,0.0,179.9
DJI_0330.JPG,-89.9,0.0,179.8
DJI_0331.JPG,-90.0,0.0,179.9
DJI_0332.JPG,-89.9,0.0,-179.6
DJI_0333.JPG,-89.9,0.0,-179.5
DJI_0334.JPG,-90.0,0.0,-27.4
DJI_0335.JPG,-90.0,0.0,-1.0
DJI_0336.JPG,-90.0,0.0,0.7
DJI_0337.JPG,-90.0,0.0,0.4
DJI_0338.JPG,-90.0,0.0,0.5
DJI_0339.JPG,-89.9,0.0,0.5
DJI_0340.JPG,-90.0,0.0,0.4
DJI_0369.JPG,-89.9,0.0,-179.6
DJI_0370.JPG,-90.0,0.0,179.9
DJI_0371.JPG,-89.9,0.0,179.8
DJI_0372.JPG,-89.9,0.0,-179.9
DJI_0373.JPG,-90.0,0.0,-179.8
DJI_0374.JPG,-89.9,0.0,-179.3
DJI_0375.JPG,-90.0,0.0,-164.2
DJI_0376.JPG,-90.0,0.0,-27.3
DJI_0377.JPG,-90.0,0.0,-1.0
DJI_0378.JPG,-89.9,0.0,0.5
DJI_0379.JPG,-90.0,0.0,0.7
DJI_0380.JPG,-90.0,0.0,0.7
DJI_0381.JPG,-90.0,0.0,0.5
DJI_0382.JPG,-89.9,0.0,0.6
